nichd,gam_score,ade
term_neonatal,-6.67880503029007e-05,21602484_35205025
toddler,-0.000112993299636704,21602484_35205025
early_adolescence,0.971657120899146,21602478_35809011
early_childhood,0.653958390605921,21602478_35809011
infancy,0.30125876444687,21602478_35809011
late_adolescence,1.11993940678625,21602478_35809011
middle_childhood,0.817397276768217,21602478_35809011
term_neonatal,0.116761475119877,21602478_35809011
toddler,0.481898761367026,21602478_35809011
early_adolescence,0.000197578799043844,21602342_36313534
early_childhood,0.000123808896279074,21602342_36313534
infancy,4.35497845788063e-05,21602342_36313534
late_adolescence,0.00023218997071578,21602342_36313534
middle_childhood,0.000161885389178496,21602342_36313534
term_neonatal,2.77200593423423e-06,21602342_36313534
toddler,8.40643839123041e-05,21602342_36313534
early_adolescence,3.97950364213156,21602256_36313075
early_childhood,2.3373540927838,21602256_36313075
infancy,0.703335114518239,21602256_36313075
late_adolescence,4.78160974503993,21602256_36313075
middle_childhood,3.16053592949796,21602256_36313075
term_neonatal,-0.108978744187541,21602256_36313075
toddler,1.51809497527142,21602256_36313075
early_adolescence,5.01271633898983e-05,21604718_36313573
early_childhood,3.08788402072285e-05,21604718_36313573
infancy,1.06972855872216e-05,21604718_36313573
late_adolescence,5.94457373263665e-05,21604718_36313573
middle_childhood,4.06576811381369e-05,21604718_36313573
term_neonatal,4.52766656521369e-07,21604718_36313573
toddler,2.08755270868552e-05,21604718_36313573
early_adolescence,-2.25010613328578e-06,21600718_35808978
early_childhood,-1.04496709216751e-06,21600718_35808978
infancy,-1.23720796324003e-07,21600718_35808978
late_adolescence,-2.93931336060806e-06,21600718_35808978
middle_childhood,-1.5996517644511e-06,21600718_35808978
term_neonatal,3.02036503306743e-07,21600718_35808978
toddler,-5.64513961605367e-07,21600718_35808978
early_adolescence,0.125790442683368,21602732_36416680
early_childhood,0.0718803388270886,21602732_36416680
infancy,0.0186697338523016,21602732_36416680
late_adolescence,0.152665450659831,21602732_36416680
middle_childhood,0.0988229164814933,21602732_36416680
term_neonatal,-0.00768515908689634,21602732_36416680
toddler,0.0451567553929529,21602732_36416680
early_adolescence,-0.00151134532644507,21602540_36718301
early_childhood,-0.000812718743790471,21602540_36718301
infancy,-0.000145579822041212,21602540_36718301
late_adolescence,-0.00186026086217834,21602540_36718301
middle_childhood,-0.001159938367827,21602540_36718301
term_neonatal,0.000179598938705946,21602540_36718301
toddler,-0.000475347233719431,21602540_36718301
early_adolescence,-1.74046540347809e-06,21602256_36617308
early_childhood,-1.158191364784e-06,21602256_36617308
infancy,-5.33457522856534e-07,21602256_36617308
late_adolescence,-2.008446578504e-06,21602256_36617308
middle_childhood,-1.45632465143654e-06,21602256_36617308
term_neonatal,-2.14264733939702e-07,21602256_36617308
toddler,-8.49335597860395e-07,21602256_36617308
early_adolescence,-0.000363747594968071,21604556_35809054
early_childhood,-0.000220746364377145,21604556_35809054
infancy,-7.49319539862677e-05,21604556_35809054
late_adolescence,-0.000435615833645556,21604556_35809054
middle_childhood,-0.000292068161804968,21604556_35809054
term_neonatal,4.33145310818249e-07,21604556_35809054
toddler,-0.000148723515133307,21604556_35809054
early_adolescence,-3.15418407494004e-06,21600083_37119544
early_childhood,-1.71180093810243e-06,21600083_37119544
infancy,-3.44717316704237e-07,21600083_37119544
late_adolescence,-3.899612609793e-06,21600083_37119544
middle_childhood,-2.42790031039182e-06,21600083_37119544
term_neonatal,3.08329764546969e-07,21600083_37119544
toddler,-1.0128039963203e-06,21600083_37119544
early_adolescence,1.52050211500444e-05,21604376_36516749
early_childhood,8.55510300422265e-06,21604376_36516749
infancy,2.0226771001431e-06,21604376_36516749
late_adolescence,1.84577497258155e-05,21604376_36516749
middle_childhood,1.18805574524204e-05,21604376_36516749
term_neonatal,-1.20487864105757e-06,21604376_36516749
toddler,5.27031623398677e-06,21604376_36516749
early_adolescence,-2.72877985899284e-06,21601129_36313916
early_childhood,-1.52140602705918e-06,21601129_36313916
infancy,-4.23686237859416e-07,21601129_36313916
late_adolescence,-3.36363307860379e-06,21601129_36313916
middle_childhood,-2.10663490459459e-06,21601129_36313916
term_neonatal,1.11924953460487e-07,21601129_36313916
toddler,-9.64994567989341e-07,21601129_36313916
early_adolescence,2.9161709971588e-06,21603514_35707865
early_childhood,2.6224035244563e-06,21603514_35707865
infancy,2.15705186588432e-06,21603514_35707865
late_adolescence,3.09048808220473e-06,21603514_35707865
middle_childhood,2.7631341233408e-06,21603514_35707865
term_neonatal,1.82176161891793e-06,21603514_35707865
toddler,2.43654695302115e-06,21603514_35707865
early_adolescence,0.226906284447709,21603288_36313477
early_childhood,0.154407696102113,21603288_36313477
infancy,0.0733593038036639,21603288_36313477
late_adolescence,0.261184195217008,21603288_36313477
middle_childhood,0.191693079423142,21603288_36313477
term_neonatal,0.0310336172876108,21603288_36313477
toddler,0.114770532325621,21603288_36313477
early_adolescence,0.000263652209056406,21604305_35607306
early_childhood,0.0001784495071125,21604305_35607306
infancy,0.000100681826741143,21604305_35607306
late_adolescence,0.000307977696615017,21604305_35607306
middle_childhood,0.000220307209260094,21604305_35607306
term_neonatal,6.30136077111269e-05,21604305_35607306
toddler,0.000138722449212385,21604305_35607306
early_adolescence,0.000637405112843221,21603909_37522181
early_childhood,0.000378753261304031,21603909_37522181
infancy,0.000117568129739409,21603909_37522181
late_adolescence,0.000770394211342117,21603909_37522181
middle_childhood,0.00050750905869259,21603909_37522181
term_neonatal,-1.58953445897699e-05,21603909_37522181
toddler,0.000249405465970959,21603909_37522181
early_adolescence,-1.88326283831555e-05,21603980_36718376
early_childhood,-1.01078559680317e-05,21603980_36718376
infancy,-2.02946589783398e-06,21603980_36718376
late_adolescence,-2.32927610006482e-05,21603980_36718376
middle_childhood,-1.44067999408834e-05,21603980_36718376
term_neonatal,1.8641367953449e-06,21603980_36718376
toddler,-5.99089092371693e-06,21603980_36718376
early_adolescence,2.22356306213277,21602895_35204958
early_childhood,1.3189929829993,21602895_35204958
infancy,0.405875906541544,21602895_35204958
late_adolescence,2.65953273940728,21602895_35204958
middle_childhood,1.77475165545879,21602895_35204958
term_neonatal,-0.0495443931239162,21602895_35204958
toddler,0.862067415842042,21602895_35204958
early_adolescence,-4.62560223720379e-06,21604543_35205388
early_childhood,-2.70679929286321e-06,21604543_35205388
infancy,-1.02864191577356e-06,21604543_35205388
late_adolescence,-5.63900011725574e-06,21604543_35205388
middle_childhood,-3.62265213606267e-06,21604543_35205388
term_neonatal,-2.10877972100462e-07,21604543_35205388
toddler,-1.85407004647451e-06,21604543_35205388
early_adolescence,0.00011729161102254,21600996_36110649
early_childhood,9.99319225975124e-05,21600996_36110649
infancy,8.48415908657986e-05,21600996_36110649
late_adolescence,0.000125367413694701,21600996_36110649
middle_childhood,0.000108918585394937,21600996_36110649
term_neonatal,7.95267868792731e-05,21600996_36110649
toddler,9.1581890882498e-05,21600996_36110649
early_adolescence,-0.000174956061091587,21600535_35808976
early_childhood,-0.000106269208484344,21600535_35808976
infancy,-3.61131600773939e-05,21600535_35808976
late_adolescence,-0.000208166627340046,21600535_35808976
middle_childhood,-0.000141103571606575,21600535_35808976
term_neonatal,-1.36649452670968e-06,21600535_35808976
toddler,-7.10394381407083e-05,21600535_35808976
early_adolescence,2.59718273367491e-05,21602338_37521041
early_childhood,1.67741182631468e-05,21602338_37521041
infancy,6.54046797950035e-06,21602338_37521041
late_adolescence,3.02949648219757e-05,21602338_37521041
middle_childhood,2.15223233739279e-05,21602338_37521041
term_neonatal,1.28783980139401e-06,21602338_37521041
toddler,1.17370324001207e-05,21602338_37521041
early_adolescence,0.000632341926196592,21603138_36718132
early_childhood,0.000374172745018221,21603138_36718132
infancy,0.000114435191326017,21603138_36718132
late_adolescence,0.000758053520169447,21603138_36718132
middle_childhood,0.000503688564405786,21603138_36718132
term_neonatal,-1.61113032332896e-05,21603138_36718132
toddler,0.000244648513192986,21603138_36718132
early_adolescence,5.80394112448408e-05,21601003_35104883
early_childhood,3.43438948815368e-05,21601003_35104883
infancy,9.97742841440782e-06,21601003_35104883
late_adolescence,6.93420222040906e-05,21601003_35104883
middle_childhood,4.63808883273057e-05,21601003_35104883
term_neonatal,-2.08192019917569e-06,21601003_35104883
toddler,2.21376006658165e-05,21601003_35104883
early_adolescence,0.0981173428617968,21601518_35607483
early_childhood,0.0498368892462801,21601518_35607483
infancy,0.00510988886957446,21601518_35607483
late_adolescence,0.123282291229283,21601518_35607483
middle_childhood,0.0734775872571433,21601518_35607483
term_neonatal,-0.0166016973341455,21601518_35607483
toddler,0.0271405724591862,21601518_35607483
early_adolescence,0.662302531162753,21600658_36009728
early_childhood,0.386319439368525,21600658_36009728
infancy,0.11177011193434,21600658_36009728
late_adolescence,0.797888112567236,21600658_36009728
middle_childhood,0.524584240573818,21600658_36009728
term_neonatal,-0.0246741068942958,21600658_36009728
toddler,0.248667489874679,21600658_36009728
early_adolescence,0.000823980386619526,21601399_37622449
early_childhood,0.000436060715109318,21601399_37622449
infancy,4.25207541360549e-05,21601399_37622449
late_adolescence,0.00101472410778489,21601399_37622449
middle_childhood,0.000631257066407247,21601399_37622449
term_neonatal,-0.000152934332999622,21601399_37622449
toddler,0.000239134096429938,21601399_37622449
early_adolescence,-5.02371135918385e-06,21601428_36312648
early_childhood,-3.54755805379576e-06,21601428_36312648
infancy,-1.79466120990012e-06,21601428_36312648
late_adolescence,-5.64150723961364e-06,21601428_36312648
middle_childhood,-4.33128799214424e-06,21601428_36312648
term_neonatal,-8.77660504610408e-07,21601428_36312648
toddler,-2.69274649340114e-06,21601428_36312648
early_adolescence,0.00147235746416821,21603825_35809079
early_childhood,0.000880461464974198,21603825_35809079
infancy,0.000305442436958517,21603825_35809079
late_adolescence,0.00177821306759471,21603825_35809079
middle_childhood,0.00117318462250977,21603825_35809079
term_neonatal,1.82800446872047e-05,21603825_35809079
toddler,0.000591787991456759,21603825_35809079
early_adolescence,-9.20451824048844e-06,21600100_35909509
early_childhood,-5.1006411896279e-06,21600100_35909509
infancy,-1.44268266435357e-06,21600100_35909509
late_adolescence,-1.13843293407303e-05,21600100_35909509
middle_childhood,-7.07789827640696e-06,21600100_35909509
term_neonatal,3.32429838186557e-07,21600100_35909509
toddler,-3.24065943192605e-06,21600100_35909509
early_adolescence,-2.69103345968339e-05,43534853_36211462
early_childhood,-3.93604775453216e-05,43534853_36211462
infancy,-4.44993868770048e-05,43534853_36211462
late_adolescence,-1.68345961058767e-05,43534853_36211462
middle_childhood,-3.45368829139846e-05,43534853_36211462
term_neonatal,-4.6250809749914e-05,43534853_36211462
toddler,-4.23196062135707e-05,43534853_36211462
early_adolescence,-0.994962169073012,21600097_36416600
early_childhood,-0.582517539129267,21600097_36416600
infancy,-0.194134526498883,21600097_36416600
late_adolescence,-1.20354334101246,21600097_36416600
middle_childhood,-0.786872038181521,21600097_36416600
term_neonatal,-0.00417380161783941,21600097_36416600
toddler,-0.385736843336542,21600097_36416600
early_adolescence,-8.8723008160071e-06,21603980_36316186
early_childhood,-6.35118272388009e-06,21603980_36316186
infancy,-3.40156850293246e-06,21603980_36316186
late_adolescence,-1.00238017412501e-05,21603980_36316186
middle_childhood,-7.67527372089877e-06,21603980_36316186
term_neonatal,-1.87155809451739e-06,21603980_36316186
toddler,-4.91247466563351e-06,21603980_36316186
early_adolescence,0.209946718107936,21600975_37219905
early_childhood,0.115853752153552,21600975_37219905
infancy,0.0273961317357748,21600975_37219905
late_adolescence,0.259161635178915,21600975_37219905
middle_childhood,0.162037856911916,21600975_37219905
term_neonatal,-0.0159272793770857,21600975_37219905
toddler,0.0711465688827863,21600975_37219905
early_adolescence,0.000776744092741564,21603082_36315380
early_childhood,0.000438541279772528,21603082_36315380
infancy,8.14504509945167e-05,21603082_36315380
late_adolescence,0.000942330859457184,21603082_36315380
middle_childhood,0.000610029168186491,21603082_36315380
term_neonatal,-9.79270656801505e-05,21603082_36315380
toddler,0.000261094174890937,21603082_36315380
early_adolescence,3.20302885998335e-07,21601423_36313705
early_childhood,1.85898755749362e-07,21601423_36313705
infancy,5.25664207468743e-08,21601423_36313705
late_adolescence,3.8597535017205e-07,21601423_36313705
middle_childhood,2.53262511850911e-07,21601423_36313705
term_neonatal,-1.3568735441485e-08,21601423_36313705
toddler,1.18976541456712e-07,21601423_36313705
early_adolescence,6.73027973184952e-05,21604298_35104883
early_childhood,4.08168606028024e-05,21604298_35104883
infancy,1.1786282760762e-05,21604298_35104883
late_adolescence,7.93327375204423e-05,21604298_35104883
middle_childhood,5.45686767889353e-05,21604298_35104883
term_neonatal,-2.95521789942986e-06,21604298_35104883
toddler,2.64433941894026e-05,21604298_35104883
early_adolescence,-0.232827366795068,21604348_46276806
early_childhood,-0.13901679189243,21604348_46276806
infancy,-0.0418449076499761,21604348_46276806
late_adolescence,-0.278329881113127,21604348_46276806
middle_childhood,-0.186507394147977,21604348_46276806
term_neonatal,0.00683165779162925,21604348_46276806
toddler,-0.0906185283430061,21604348_46276806
early_adolescence,0.721968548819218,21603134_36818730
early_childhood,0.394235057461243,21603134_36818730
infancy,0.0886322326826844,21603134_36818730
late_adolescence,0.894405673297305,21603134_36818730
middle_childhood,0.554712908313242,21603134_36818730
term_neonatal,-0.0606733974983862,21603134_36818730
toddler,0.239562971229439,21603134_36818730
early_adolescence,-7.8912652089961e-06,21601392_35607272
early_childhood,-5.48659535752927e-06,21601392_35607272
infancy,-2.75086362111324e-06,21601392_35607272
late_adolescence,-8.98445585791007e-06,21601392_35607272
middle_childhood,-6.73774160001715e-06,21601392_35607272
term_neonatal,-1.3290574634043e-06,21601392_35607272
toddler,-4.14712511398121e-06,21601392_35607272
early_adolescence,-1.03385197375366e-07,21604344_35708310
early_childhood,-1.97138466184278e-07,21604344_35708310
infancy,-2.24001344675322e-07,21604344_35708310
late_adolescence,-3.31973565887536e-08,21604344_35708310
middle_childhood,-1.60315771654072e-07,21604344_35708310
term_neonatal,-2.26804898133048e-07,21604344_35708310
toddler,-2.16201227169112e-07,21604344_35708310
early_adolescence,0.15877002857506,21602289_36718211
early_childhood,0.0941730316981873,21602289_36718211
infancy,0.02831483310261,21602289_36718211
late_adolescence,0.190018679945873,21602289_36718211
middle_childhood,0.126815418734164,21602289_36718211
term_neonatal,-0.00460274543449391,21602289_36718211
toddler,0.061259367196317,21602289_36718211
early_adolescence,6.0149579660683e-05,21602730_37219905
early_childhood,3.25302670640077e-05,21602730_37219905
infancy,6.4904071117489e-06,21602730_37219905
late_adolescence,7.43565011858878e-05,21602730_37219905
middle_childhood,4.61288899409101e-05,21602730_37219905
term_neonatal,-6.26402996258443e-06,21602730_37219905
toddler,1.93617506860734e-05,21602730_37219905
early_adolescence,0.746559443377474,43534821_43053882
early_childhood,0.409300322558159,43534821_43053882
infancy,0.0943392242962002,43534821_43053882
late_adolescence,0.923905635824516,43534821_43053882
middle_childhood,0.574493066827424,43534821_43053882
term_neonatal,-0.0596531432256618,43534821_43053882
toddler,0.249947111607781,43534821_43053882
early_adolescence,6.08294465357317e-05,21604090_35205236
early_childhood,3.82535768087005e-05,21604090_35205236
infancy,1.28708813791131e-05,21604090_35205236
late_adolescence,7.09750180529667e-05,21604090_35205236
middle_childhood,5.00698455100483e-05,21604090_35205236
term_neonatal,-9.18946275477189e-08,21604090_35205236
toddler,2.57279105994018e-05,21604090_35205236
early_adolescence,1.67041443396027,21603984_35809327
early_childhood,0.994512796055611,21603984_35809327
infancy,0.303800128216858,21603984_35809327
late_adolescence,2.00059172847207,21603984_35809327
middle_childhood,1.33636027486932,21603984_35809327
term_neonatal,-0.0412833404640765,21603984_35809327
toddler,0.649364022784258,21603984_35809327
early_adolescence,0.889193000089311,21604563_35506797
early_childhood,0.604064792527475,21604563_35506797
infancy,0.303982064836385,21604563_35506797
late_adolescence,1.02186217408397,21604563_35506797
middle_childhood,0.748720488506401,21604563_35506797
term_neonatal,0.149358212927865,21604563_35506797
toddler,0.455503986255507,21604563_35506797
early_adolescence,0.00016190999177563,21604544_36313436
early_childhood,9.61513100100169e-05,21604544_36313436
infancy,2.94742743997331e-05,21604544_36313436
late_adolescence,0.000194446987565595,21604544_36313436
middle_childhood,0.000129103276582253,21604544_36313436
term_neonatal,-4.03682483019171e-06,21604544_36313436
toddler,6.29295597027956e-05,21604544_36313436
early_adolescence,1.22302390539748e-05,21600084_37219885
early_childhood,6.67634965149441e-06,21600084_37219885
infancy,1.17243683548406e-06,21600084_37219885
late_adolescence,1.48729741560053e-05,21600084_37219885
middle_childhood,9.46876741638547e-06,21600084_37219885
term_neonatal,-1.54822475325316e-06,21600084_37219885
toddler,3.90957958957034e-06,21600084_37219885
early_adolescence,-0.00027592778985843,21602085_36009756
early_childhood,-0.000164491297747049,21602085_36009756
infancy,-6.11905417659073e-05,21602085_36009756
late_adolescence,-0.000335687274905224,21602085_36009756
middle_childhood,-0.000218603459865733,21602085_36009756
term_neonatal,-1.02667535192192e-05,21602085_36009756
toddler,-0.00011238364772106,21602085_36009756
early_adolescence,1.7361684553484e-06,21603924_35809058
early_childhood,1.07389887614736e-06,21603924_35809058
infancy,2.94211971671255e-07,21603924_35809058
late_adolescence,2.00895622285607e-06,21603924_35809058
middle_childhood,1.42930056141083e-06,21603924_35809058
term_neonatal,-1.04304212718638e-07,21603924_35809058
toddler,6.8976067824339e-07,21603924_35809058
early_adolescence,-1.07361807070452e-06,21604436_36311940
early_childhood,-1.41928522660202e-07,21604436_36311940
infancy,7.56754667062535e-07,21604436_36311940
late_adolescence,-1.54440090669097e-06,21604436_36311940
middle_childhood,-6.03459026274977e-07,21604436_36311940
term_neonatal,1.18005845549859e-06,21604436_36311940
toddler,3.13055241213777e-07,21604436_36311940
early_adolescence,-5.13569597627053e-06,21603179_36313436
early_childhood,-2.58674264409724e-06,21603179_36313436
infancy,6.10831920589509e-08,21603179_36313436
late_adolescence,-6.48014236268723e-06,21603179_36313436
middle_childhood,-3.84881132308811e-06,21603179_36313436
term_neonatal,1.46445344273181e-06,21603179_36313436
toddler,-1.29266513134027e-06,21603179_36313436
early_adolescence,-7.215426087906e-07,21604749_35809005
early_childhood,2.05069851360446e-06,21604749_35809005
infancy,3.26536011621601e-06,21604749_35809005
late_adolescence,-2.55592494287789e-06,21604749_35809005
middle_childhood,9.2222144541165e-07,21604749_35809005
term_neonatal,3.59699256821744e-06,21604749_35809005
toddler,2.77234276735449e-06,21604749_35809005
early_adolescence,1.00025726986189,21604762_36718345
early_childhood,0.554910443453627,21604762_36718345
infancy,0.136762569153334,21604762_36718345
late_adolescence,1.23395393512235,21604762_36718345
middle_childhood,0.773317081056042,21604762_36718345
term_neonatal,-0.0681009210299766,21604762_36718345
