drugA,drugB,meddra,type,dynamic,n_injected
21601161,21603392,37522181,positive,increase,74
21604431,21604559,36718555,positive,decrease,11
21602085,21601390,35708202,positive,inverse_plateau,9
21602730,21603929,36718463,positive,uniform,22
21602735,21603929,36416563,positive,inverse_plateau,9
21601534,21604393,37420527,positive,plateau,1
21600493,21601518,35205038,positive,decrease,14
21602485,21602823,36918947,positive,plateau,9
21601392,21601431,35104883,positive,decrease,6
21602737,21601435,35104868,positive,inverse_plateau,12
21601423,21601431,35104691,positive,plateau,18
21600948,21603448,36009783,positive,increase,5
21604590,21603448,36718132,positive,plateau,14
21602256,21604711,36211496,positive,uniform,24
21600084,21600493,36776613,positive,uniform,19
21603967,21603980,37320122,positive,uniform,17
21601003,21600448,35708208,positive,increase,55
21603080,21603924,35809054,positive,plateau,12
21600493,21603448,36416514,positive,decrease,15
21604571,21603448,35708208,positive,uniform,40
21602485,21604714,36918942,positive,plateau,30
21604559,21604711,36718320,positive,increase,28
21602732,21603925,35204970,positive,increase,8
21601390,21601431,36416514,positive,inverse_plateau,13
21604543,21604559,35708705,positive,increase,11
21604562,21604714,37119651,positive,decrease,13
21603897,21603908,43562827,positive,uniform,3
21602102,21602737,36110736,positive,increase,24
21603356,21603497,35708208,positive,inverse_plateau,47
21603356,21603362,37219810,positive,inverse_plateau,53
21600493,21601423,36516812,positive,decrease,10
21603080,21603613,35809054,positive,decrease,4
21601435,21603929,35205230,positive,plateau,29
21600098,21604344,35204948,positive,increase,17
21603896,21603929,36211650,positive,uniform,20
21600084,21601423,35708093,positive,plateau,18
21604562,21604711,36516975,positive,decrease,13
21601423,21603911,36009756,positive,inverse_plateau,13
21602338,21603140,35708154,positive,inverse_plateau,9
21604422,21604431,36313476,positive,uniform,6
21602978,21603009,35909443,positive,inverse_plateau,11
21601390,21601394,37622529,positive,uniform,10
21601431,21603925,36009891,positive,decrease,73
21600513,21604344,37622449,positive,inverse_plateau,13
21603082,21601435,35809327,positive,plateau,33
21602136,21603288,36918858,positive,decrease,20
21600083,21600497,37320158,positive,inverse_plateau,24
21604431,21604433,36919098,positive,uniform,16
21604399,21604437,35809327,positive,decrease,20
21602737,21603929,35104109,positive,inverse_plateau,87
21604344,21604571,35708093,positive,increase,51
21602338,21603140,36009901,positive,uniform,17
21604348,21603448,36110630,positive,inverse_plateau,16
40253398,21603929,35708208,positive,plateau,17
21603781,21603900,35708208,positive,decrease,11
21601003,21602648,35808956,positive,inverse_plateau,11
21602256,21604590,36919230,positive,uniform,5
21602732,21602735,35708093,positive,plateau,24
21600395,21601789,36818726,positive,decrease,9
21600663,21603917,36516786,positive,plateau,8
21601423,21603929,35122884,positive,plateau,50
21602820,21604440,35204948,positive,plateau,4
21603909,21603911,35708202,positive,decrease,30
21601200,21604643,36718301,positive,inverse_plateau,10
21601423,21604422,36776613,positive,inverse_plateau,16
21602338,21603756,35809327,positive,increase,26
21601390,21603929,37219897,positive,decrease,16
21602485,21604298,36918858,positive,plateau,9
21600965,21601534,35708208,positive,inverse_plateau,17
21600303,21603362,36009783,positive,increase,11
21603905,21603911,788653,positive,increase,24
21601392,21603749,35607265,positive,plateau,13
21601423,21603929,35607494,positive,inverse_plateau,17
21601390,21603929,36617295,positive,plateau,19
21604431,21604590,35809104,positive,increase,11
21602102,21601423,36110874,positive,uniform,17
21602732,21603929,42889498,positive,inverse_plateau,37
21601534,21604305,36416501,positive,plateau,8
21600303,21604571,35204966,positive,uniform,8
21600493,21600575,35809207,positive,plateau,23
21600497,21603080,35809207,positive,decrease,9
21602730,21601394,35708208,positive,increase,25
21602256,43534821,35809327,positive,decrease,6
21602256,21602553,36919052,positive,inverse_plateau,20
21602096,21601442,35104199,positive,increase,0
21602732,21601423,37219945,positive,plateau,9
21604344,21604348,36516865,positive,uniform,18
21601518,21604344,35204966,positive,uniform,20
21602256,21603908,35809361,positive,uniform,14
21604431,21604757,35708154,positive,decrease,7
21602338,21603925,35708044,positive,plateau,35
21602085,21603131,35104177,positive,increase,29
21601423,21603929,36416568,positive,inverse_plateau,18
21600664,21602256,35808981,positive,plateau,74
21604516,21604559,36718193,positive,increase,14
21602338,21603929,35909508,positive,increase,20
21601518,21602732,37219905,positive,decrease,8
21602734,21603756,35708663,positive,uniform,16
21602730,21601423,35104883,positive,increase,102
21602338,21603925,35104746,positive,inverse_plateau,79
21604431,21604562,35809310,positive,plateau,36
21603080,21604344,36416568,positive,plateau,38
21602737,21603718,35104074,positive,increase,19
21601423,21604434,36313534,positive,inverse_plateau,12
21602085,21603082,36313524,positive,increase,10
21604556,21604562,35809327,positive,uniform,37
21603905,21603929,35708093,positive,uniform,18
21600097,21602485,35708154,positive,plateau,26
43534769,21602653,35809076,positive,plateau,26
21600663,21603908,35506459,positive,inverse_plateau,20
21602823,21603980,35909452,positive,inverse_plateau,19
21603160,21603163,35104074,positive,decrease,14
21602734,21603929,36009895,positive,increase,26
21600575,21604131,35809054,positive,uniform,7
21604571,21603448,36313240,positive,increase,22
21601423,21603911,35506459,positive,increase,40
21602730,21601435,36718119,positive,increase,16
21602734,21603896,35104074,positive,decrease,15
21600303,21604348,37219907,positive,uniform,19
21604562,21604762,35809076,positive,plateau,6
21602730,21604131,36009871,positive,uniform,10
21601161,21603929,35104877,positive,uniform,13
21600575,21603980,36776613,positive,decrease,13
21604642,21604655,35809077,positive,increase,6
21603967,21603980,37019315,positive,plateau,72
21602735,21603929,36718132,positive,plateau,103
21602730,21601423,35909624,positive,increase,49
21604562,21604655,36718321,positive,decrease,5
21601129,21603908,35809076,positive,plateau,11
21604393,21604436,36718321,positive,inverse_plateau,11
21602732,21603896,35205038,positive,inverse_plateau,14
21602734,21603925,42890355,positive,decrease,17
21602256,21603911,37019318,positive,inverse_plateau,20
21604344,21603448,36110229,positive,increase,17
21604393,21604643,35809327,positive,decrease,41
21601518,21604348,35809054,positive,plateau,40
21602730,21601429,35809054,positive,inverse_plateau,11
21602256,21603911,36918861,positive,plateau,90
21602732,21601390,35809054,positive,plateau,43
21603896,21603925,42889229,positive,plateau,11
21603897,21603908,36110874,positive,inverse_plateau,5
21601423,21603905,788653,positive,plateau,30
21602646,21601390,35104199,positive,uniform,2
21601423,21601431,35909508,positive,plateau,11
21604544,21604559,36315380,positive,plateau,49
21603911,21603929,35708208,positive,decrease,89
21600493,21601394,35708100,positive,plateau,20
21604436,21604574,36776531,positive,decrease,15
21603019,21604131,35809054,positive,plateau,15
21604431,21604712,36919230,positive,plateau,11
21603777,21603929,36315575,positive,uniform,7
21604393,21604417,35909613,positive,uniform,15
21601161,21604344,35708202,positive,decrease,14
21601390,21603749,35708208,positive,plateau,26
21602485,21602754,35708154,positive,plateau,28
21603967,21604344,36718141,positive,uniform,9
21604571,21603312,35205038,positive,uniform,7
21603081,21601390,35104877,positive,uniform,16
21603718,21603929,35104074,positive,inverse_plateau,56
21601423,21603618,36211181,positive,decrease,3
21603392,21603497,35306246,positive,inverse_plateau,35
21603748,21603749,35104103,positive,decrease,14
21601200,21604272,37622449,positive,increase,12
21603911,21603929,36416534,positive,increase,37
21602735,21603924,35809327,positive,increase,19
21604556,21604562,36718193,positive,decrease,16
21601003,21600448,36110933,positive,decrease,15
21604544,21604714,36718220,positive,inverse_plateau,8
21601003,43534769,36110540,positive,decrease,7
21604417,21604433,35809104,positive,increase,13
21604529,21604562,36919068,positive,decrease,3
21604433,21604711,35204966,positive,increase,8
21604260,21603448,35104877,positive,uniform,22
21600863,21603448,35104877,positive,uniform,10
21602338,21602732,37019321,positive,uniform,12
21604436,21604440,35708344,positive,plateau,8
21602737,21603929,36110642,positive,inverse_plateau,65
21602730,21601435,37219905,positive,inverse_plateau,18
21603160,21603164,37019321,positive,decrease,19
21601390,21601435,35104877,positive,increase,359
21603909,21603921,37320205,positive,increase,15
21602898,21603917,35205345,positive,inverse_plateau,4
21602102,21603448,36110597,positive,inverse_plateau,17
21603909,21603929,36110229,positive,plateau,18
21600083,21603718,36110597,positive,plateau,9
21600816,21603505,42889536,positive,plateau,17
21604201,21604643,35809310,positive,plateau,11
21604711,21604757,35809071,positive,decrease,8
21601423,21603756,36315486,positive,plateau,19
21602730,21603929,36313371,positive,increase,18
21600658,21603911,35808976,positive,decrease,8
21601390,21603718,37019261,positive,plateau,33
21603900,21603514,36776613,positive,inverse_plateau,6
21601518,21602732,37622449,positive,uniform,11
21601420,21601447,35506797,positive,inverse_plateau,7
21600664,21603909,35809054,positive,increase,6
21601518,21604643,37622529,positive,decrease,16
21602256,21603911,36416528,positive,uniform,12
21604543,21604571,36918858,positive,decrease,18
21603758,21603929,36009895,positive,increase,13
21601423,21603607,35809310,positive,increase,10
21604415,21604433,36110597,positive,uniform,14
21602338,21603925,35909603,positive,inverse_plateau,20
21601747,21604711,35809310,positive,uniform,13
21601423,21604229,36776613,positive,increase,8
21603898,21603911,788653,positive,plateau,12
21600484,21602485,35708208,positive,inverse_plateau,10
21600965,21600994,35708208,positive,increase,18
21600663,21603968,36516781,positive,increase,4
21601392,21603718,36110597,positive,decrease,11
21601435,21603929,36313240,positive,increase,28
21603256,21603312,36009711,positive,plateau,8
21604422,21604757,35809310,positive,plateau,8
21603980,21604712,42889647,positive,inverse_plateau,10
21604642,21604712,35204948,positive,uniform,3
21604422,21604440,37220005,positive,decrease,10
21601390,21603929,36009895,positive,increase,105
21603909,21603911,36009738,positive,plateau,76
21600658,21603285,36110201,positive,decrease,18
21602256,21603917,35809329,positive,uniform,10
21603909,21603929,37219907,positive,inverse_plateau,18
21603967,21603980,37320158,positive,plateau,95
21604192,21604193,35204966,positive,uniform,4
21602256,21603864,36718112,positive,decrease,127
21603967,21603312,35809243,positive,plateau,23
21604272,21604440,36416500,positive,increase,6
21604422,21604433,36315380,positive,increase,28
21600505,21603131,35809207,positive,uniform,11
21603718,21603929,36110369,positive,uniform,10
21601423,21603929,37219850,positive,uniform,64
21604399,21604431,36718298,positive,plateau,4
21604434,21604566,35809327,positive,uniform,14
21602735,21603756,35104868,positive,uniform,14
21603777,21603929,35104877,positive,plateau,32
21601390,21601392,35506597,positive,decrease,7
21602732,21601431,42890355,positive,decrease,57
21601423,21603718,37219921,positive,plateau,14
21602256,21604344,42889647,positive,plateau,21
21600604,21601911,37622529,positive,decrease,10
21602735,21603800,36718500,positive,inverse_plateau,11
21601518,21601423,36516959,positive,decrease,5
21604422,21604432,43053854,positive,uniform,0
21600493,21602730,35104877,positive,increase,82
21601390,21603749,35104691,positive,decrease,20
21602737,21603909,35809131,positive,plateau,45
21604122,21604440,36311918,positive,inverse_plateau,5
21603925,21603929,36718132,positive,inverse_plateau,23
21601161,21603448,35104883,positive,increase,12
21600816,21602735,35708044,positive,inverse_plateau,42
21602690,21602737,35506673,positive,uniform,33
21602737,21603497,35708208,positive,increase,18
21600535,21602485,35809243,positive,plateau,15
21600575,1588697,37219907,positive,uniform,11
21600096,21603131,37622499,positive,plateau,7
21604344,21604348,35909508,positive,decrease,36
21604559,21604714,36919236,positive,increase,23
21604543,21604559,36919071,positive,plateau,13
21602102,21601435,36110320,positive,increase,17
21600493,21601423,35708038,positive,uniform,11
21601423,21603908,35809022,positive,decrease,14
21601423,21603905,36718132,positive,increase,16
21604544,21604556,36718347,positive,uniform,8
21603080,21601423,37622449,positive,inverse_plateau,9
21604556,21604562,36918912,positive,uniform,15
21600575,21601518,35708208,positive,plateau,9
21602256,21603911,37320205,positive,inverse_plateau,256
21604393,21604436,35708067,positive,increase,16
21602256,21603911,788670,positive,inverse_plateau,4
21600448,21602648,36211542,positive,uniform,10
21602735,21603800,42888943,positive,inverse_plateau,41
21601161,21602919,35306246,positive,plateau,13
21602256,21603911,36110536,positive,inverse_plateau,24
21601129,21601423,36516818,positive,uniform,15
21601431,21603929,36313176,positive,increase,10
21604344,21603312,36416606,positive,increase,6
21604348,21604571,37219863,positive,plateau,22
21604431,21604574,36718523,positive,uniform,13
21604516,21604559,36919059,positive,increase,29
21604419,21604433,36776613,positive,inverse_plateau,9
21602985,21603607,37320212,positive,increase,7
21604272,21604566,36718354,positive,increase,9
21601399,21601431,36211705,positive,uniform,31
21601390,21603800,35809243,positive,increase,10
21601390,21603732,36110715,positive,decrease,21
21601423,21603800,36009756,positive,decrease,22
21604415,21604643,37220005,positive,decrease,8
21604422,21604562,36516867,positive,uniform,15
21600493,21601518,35708208,positive,inverse_plateau,22
21603082,21603929,36718301,positive,increase,20
21601399,21603896,36110630,positive,uniform,19
21601518,21602737,35205388,positive,decrease,17
21601423,21603732,36516876,positive,plateau,23
21603896,21603925,35104281,positive,plateau,31
21602985,21603448,35809054,positive,decrease,4
21600493,21602102,35104109,positive,increase,10
21602730,21603718,36416606,positive,uniform,36
21602737,21601423,35708038,positive,inverse_plateau,37
21601518,21602648,35205037,positive,decrease,19
21604131,21603448,37622449,positive,increase,14
21604115,21604436,35809369,positive,uniform,18
21600141,21604425,36776613,positive,plateau,7
21603312,21603497,35708202,positive,uniform,43
21602732,21603448,35809054,positive,decrease,40
21600663,21603908,36516818,positive,uniform,26
21603912,21603959,36516817,positive,increase,8
21604571,21603448,36718555,positive,decrease,11
21603082,21604131,37622499,positive,uniform,11
21600816,21603911,35809019,positive,decrease,7
21601518,21605265,36718540,positive,increase,1
21603897,21603925,45885904,positive,uniform,8
21604888,21603448,36918984,positive,decrease,4
21600083,21602732,36313371,positive,plateau,18
21603356,21603362,35205025,positive,decrease,31
21603967,21603980,37219872,positive,uniform,19
21600505,21605269,35708093,positive,increase,15
21603009,21603607,36919046,positive,plateau,27
21604417,21604556,35809076,positive,uniform,3
21603009,21603607,37019321,positive,plateau,13
21600513,21604571,36313550,positive,decrease,3
21604711,21603448,36718555,positive,increase,14
21603718,21603749,35607402,positive,decrease,11
21602734,21603929,35809131,positive,uniform,18
21603718,21604344,37622449,positive,inverse_plateau,17
21601423,21603921,36315381,positive,plateau,14
21603718,21603929,35809059,positive,decrease,22
21604434,21604562,42889636,positive,plateau,1
21603163,21603164,36314766,positive,decrease,16
21600663,21604889,36009738,positive,increase,9
21602735,21601423,36718132,positive,inverse_plateau,77
21600083,21601161,35809054,positive,uniform,24
21600493,21603800,36313524,positive,uniform,7
21600493,21603607,35809243,positive,plateau,13
21603895,21603896,35809054,positive,decrease,10
21603967,21603980,37219850,positive,uniform,49
21602737,21603732,36416514,positive,increase,15
21600493,21601518,36416501,positive,inverse_plateau,15
21602735,21601423,36718301,positive,decrease,9
21600493,21603080,35707713,positive,plateau,13
21601392,21601399,36009895,positive,inverse_plateau,25
21601450,21603795,35708465,positive,increase,7
21602737,21603929,35809072,positive,increase,23
21602102,21604344,35809243,positive,inverse_plateau,15
21604344,21604655,36919230,positive,increase,10
21603967,21603980,42889536,positive,decrease,8
21601392,21603896,35809207,positive,uniform,14
21601392,21604305,35607270,positive,inverse_plateau,10
21603967,21603980,35506636,positive,inverse_plateau,15
21600575,21601423,36718132,positive,plateau,10
21602096,21604857,37019321,positive,increase,10
21604417,21604574,36718530,positive,decrease,20
21603925,21603929,36313524,positive,uniform,19
21602338,21602732,37320212,positive,uniform,18
21601428,21603718,36110736,positive,increase,12
21600493,21604131,35809054,positive,uniform,27
21601390,21603929,35809243,positive,uniform,33
21603019,21603613,36313534,positive,uniform,26
21604051,21603641,35708628,positive,plateau,24
21603288,21603356,36919235,positive,uniform,27
21600663,21603929,36313153,positive,uniform,18
21603158,21603160,42889636,positive,decrease,10
21602734,21603896,36009897,negative,,0
21600084,21604344,35104877,negative,,0
21602737,21601394,36416514,negative,,0
21603929,21604436,37019318,negative,,0
21601390,21601394,37522220,negative,,0
21601428,21601431,36776613,negative,,0
21602737,21604348,35708208,negative,,0
21602256,21602735,36110649,negative,,0
21604711,21604762,36718132,negative,,0
21602737,21604344,36009783,negative,,0
21602732,21601423,35809327,negative,,0
21603905,21603909,36009833,negative,,0
21602734,21603925,35104177,negative,,0
21603909,21603917,36516786,negative,,0
21600395,21601789,35205305,negative,,0
21602256,21601423,42889847,negative,,0
21603929,21603607,35809207,negative,,0
21603732,40253398,35104877,negative,,0
21601423,21603756,35104883,negative,,0
21602338,21603082,35809327,negative,,0
21601390,21603929,35707751,negative,,0
21604529,21604544,35809076,negative,,0
21603967,21603980,35809327,negative,,0
21603718,21603732,35104074,negative,,0
21602735,21603140,36009901,negative,,0
21601435,21603718,35122884,negative,,0
21600816,21602256,36516812,negative,,0
21601423,21603967,35809054,negative,,0
21603718,21603929,35205038,negative,,0
21604562,21604741,42889647,negative,,0
21603967,21603980,36919117,negative,,0
21600733,21603392,42889536,negative,,0
21600083,21604757,35809310,negative,,0
21601431,21603758,36211181,negative,,0
21600096,21602735,36315380,negative,,0
21604393,21604415,35205345,negative,,0
21601129,21603968,36009833,negative,,0
21601390,21601435,36211181,negative,,0
21602735,21603896,36919128,negative,,0
21602735,21601423,37320205,negative,,0
21601390,21603929,42890163,negative,,0
21604757,21604762,36919052,negative,,0
21604344,21604348,36110584,negative,,0
21602730,21603718,36110642,negative,,0
21600303,21603967,35809054,negative,,0
21601392,21603795,36009703,negative,,0
21600493,21600575,37219871,negative,,0
21601003,21601518,36314117,negative,,0
21604344,21604348,36718119,negative,,0
21603718,21603749,35708093,negative,,0
21604344,21603448,37320158,negative,,0
21604713,21604745,35809369,negative,,0
21603140,21603896,36110736,negative,,0
21602102,21601435,36718301,negative,,0
21600493,21604348,36516959,negative,,0
21602085,21603131,36718347,negative,,0
21600096,21603497,35205025,negative,,0
21600493,21603131,36313594,negative,,0
21600513,21600575,42889536,negative,,0
21601129,21603968,35809327,negative,,0
21600493,21604344,35205185,negative,,0
21604556,21604711,35809310,negative,,0
21601390,21603748,36717969,negative,,0
21602735,21603908,36718132,negative,,0
21603758,21603925,36110874,negative,,0
21601423,21603929,36312538,negative,,0
21604344,21604348,36311923,negative,,0
21601399,21604229,36776613,negative,,0
21603718,21603749,35104113,negative,,0
21604422,21604566,35708208,negative,,0
21604433,21604574,35809115,negative,,0
21602737,21604571,36718119,negative,,0
21604434,21604643,35607284,negative,,0
21603800,21603929,35708038,negative,,0
21601911,21604348,37622449,negative,,0
21602485,21604571,35909445,negative,,0
21603008,21603605,35708208,negative,,0
21601390,21603756,35104691,negative,,0
21604436,21605129,37219897,negative,,0
21604436,21604440,35809367,negative,,0
21601407,21601423,35104877,negative,,0
21603009,21603607,36211303,negative,,0
21603967,21604431,35809243,negative,,0
21603135,21603925,37522220,negative,,0
21604399,21604432,37220005,negative,,0
21601390,21601392,36110852,negative,,0
21601161,21605129,35809130,negative,,0
21602732,21601431,36009891,negative,,0
21601518,21604272,35204928,negative,,0
21603080,21601392,35809054,negative,,0
21603851,21603924,35104877,negative,,0
21602734,21601407,36313524,negative,,0
21601423,21603929,36919050,negative,,0
21604571,21603448,36110642,negative,,0
21600943,21604422,36110597,negative,,0
21600303,21603497,36009756,negative,,0
21604422,21604433,35204948,negative,,0
21603087,21603929,35708093,negative,,0
21601423,21603929,35205315,negative,,0
21604344,21604571,35708202,negative,,0
21603967,21603980,36718112,negative,,0
21602735,21601428,35708208,negative,,0
21602732,21603756,36110874,negative,,0
21602289,21602295,42889567,negative,,0
21601423,21603929,45885569,negative,,0
21601003,43534769,35205037,negative,,0
21602338,21603896,36110974,negative,,0
21602102,21601435,37219863,negative,,0
21603967,21604344,35205038,negative,,0
21602732,21603924,37219921,negative,,0
21602730,21603929,37219897,negative,,0
21603080,21603925,37622529,negative,,0
21600664,21602256,43053808,negative,,0
21603967,21603497,36718132,negative,,0
21600497,21604131,35809054,negative,,0
21602102,21603909,35809327,negative,,0
21600493,21602102,36313524,negative,,0
21603980,21604344,36718301,negative,,0
21601003,21602653,35708202,negative,,0
21601450,21603732,36617295,negative,,0
21603896,21604344,35708093,negative,,0
40253398,21603929,36416606,negative,,0
21600083,21604348,35708208,negative,,0
21601390,21601435,36110649,negative,,0
21601423,21603732,35104868,negative,,0
21602873,21604272,37622449,negative,,0
21600135,21600493,35708154,negative,,0
21601423,21601435,36919118,negative,,0
21602295,21602302,37320197,negative,,0
21604415,21604436,35809340,negative,,0
21602732,21603929,35809207,negative,,0
21601390,21603925,36110552,negative,,0
21601423,21603758,36110874,negative,,0
21601036,21604272,36718301,negative,,0
21601423,21603800,35104161,negative,,0
21602895,21603917,37220005,negative,,0
21604543,21604544,36918984,negative,,0
21602734,21604344,35809054,negative,,0
21601390,21601431,35104236,negative,,0
21600493,21600499,35809054,negative,,0
21601423,21603959,35809327,negative,,0
21603900,21604422,36776613,negative,,0
21603081,21603929,35708154,negative,,0
21604344,21604571,37219905,negative,,0
21601435,21603929,36918858,negative,,0
21602735,21603082,35809054,negative,,0
21601390,21601423,35104074,negative,,0
21600575,21601435,35104074,negative,,0
21602338,21602734,35708208,negative,,0
21600098,21602735,35809076,negative,,0
21601423,21605271,35809054,negative,,0
21600395,21601684,35205305,negative,,0
21604415,21603448,36918858,negative,,0
21601129,21601423,35809327,negative,,0
21601392,21603924,37622499,negative,,0
21600575,21603929,36313436,negative,,0
21602485,21603497,35909443,negative,,0
21601129,21601423,35205185,negative,,0
21600083,21600484,35809054,negative,,0
21603898,21603909,35809361,negative,,0
21602734,21603718,35708093,negative,,0
21602735,21603362,36718132,negative,,0
21601390,21601419,36617295,negative,,0
21603080,21603131,35708154,negative,,0
21602256,21603911,35707572,negative,,0
21600994,21602648,35708208,negative,,0
21601431,21601432,35809327,negative,,0
21600493,21603448,37219907,negative,,0
21602338,21603086,42890392,negative,,0
21603082,21603929,37219942,negative,,0
21602737,21603448,35708208,negative,,0
21601161,21603080,35809054,negative,,0
21601518,21604272,35205240,negative,,0
21602823,21604562,36818729,negative,,0
21600449,21602653,36211542,negative,,0
21602256,21601423,35708038,negative,,0
21602485,21604655,35708154,negative,,0
21600084,21603448,35809243,negative,,0
